Name,Tier,Color,Games Played,Wins,Losses,Win Rate,Conservative Rating,Mean,StdDev,Turns to Win,Turns to Lose
JMP Vampires 3,S,B,3763,2296,1467,0.6101514748870582,7.674782692087227,10.5395202089156,0.9549125056094581,20.396341463414632,19.782549420586232
JMP Dinosaurs 1,S,G,3682,2226,1456,0.6045627376425855,7.538525371574809,10.408986231620698,0.9568202866819631,18.303683737646,19.372252747252748
JMP Vampires 4,S,B,3869,2488,1381,0.6430602222796589,7.356124614150261,10.202436104087141,0.9487704966456268,19.478295819935692,20.059377262853005
JMP Tree Hugging 1,S,G,3631,2082,1549,0.5733957587441476,7.262769106910435,10.110594342030442,0.9492750783733358,21.327089337175792,21.034861200774692
JMP Discarding 2,S,B,3694,2373,1321,0.6423930698429886,7.12479077399395,9.964317857374063,0.946509027793371,19.51706700379267,19.49886449659349
JMP Above the Clouds 2,S,U,3731,2148,1583,0.5757169659608684,7.028367606290448,9.865341937316629,0.94565811034206,18.863128491620113,19.98547062539482
JMP Enchanted 1,S,W,3636,2169,1467,0.5965346534653465,7.017763554133633,9.873621865312685,0.9519527703930175,19.479483633010602,20.789366053169733
JMP Goblins 3,S,R,3809,2261,1548,0.5935941191913888,7.017154741513146,9.859277651214668,0.9473743032338409,17.317558602388324,19.073643410852714
JMP Discarding 1,S,B,3597,2251,1346,0.6257992771754239,6.838731916173812,9.686004096294528,0.9490907267069058,19.68236339404709,19.195393759286777
JMP Tree Hugging 4,S,G,3766,2296,1470,0.6096654275092936,6.833572800194711,9.665088284022438,0.9438384946092425,19.872386759581882,19.84829931972789
JMP Basri,S,W,3638,2021,1617,0.5555250137438152,6.755050100656694,9.584568680510667,0.9431728599513243,20.821870361207324,20.641929499072358
JMP Dragons 2,S,R,3726,2212,1514,0.5936661298980139,6.569181807633452,9.402154286256408,0.9443241595409854,18.80967450271248,18.66776750330251
JMP Cats 2,S,G,3762,2000,1762,0.531632110579479,6.432493078066408,9.265091450110617,0.9441994573480699,19.474,19.630533484676505
JMP Angels 1,A,W,3730,2175,1555,0.5831099195710456,6.3781231455342065,9.228233218486295,0.9500366909840297,19.58528735632184,18.554340836012862
JMP Doctor 3,A,W,3769,2161,1608,0.5733616343857787,6.349025004919504,9.203651149577311,0.9515420482192689,22.26515502082369,22.766169154228855
JMP Angels 2,A,W,3703,2029,1674,0.5479341074804213,6.144092299839285,8.99686526031346,0.9509243201580581,19.633809758501727,18.862604540023895
JMP Pirates 2,A,U,3759,2046,1713,0.5442936951316839,6.131333513950979,8.950539285749539,0.9397352572661865,17.981915933528835,19.09865732632808
JMP Garruk,A,G,3674,2048,1626,0.5574305933587371,6.088597863612781,8.923661717496856,0.9450212846280247,18.99853515625,19.295817958179583
JMP Wizards 3,A,U,3774,1927,1847,0.5105988341282459,5.972443244863541,8.805591317269279,0.9443826908019127,20.068500259470678,19.90904168922577
JMP Spirits 1,A,U,3641,1995,1646,0.547926393847844,5.962538599077145,8.792975284646872,0.943478895189909,18.671679197994987,19.61543134872418
JMP Reanimated 2,A,B,3761,2031,1730,0.5400159532039351,5.946546327109571,8.779796182746125,0.9444166185455181,19.322008862629247,19.017341040462426
JMP Dragons 1,A,R,3732,2182,1550,0.5846730975348339,5.946192337930827,8.791998405939434,0.9486020226695357,17.97571035747021,18.765806451612903
JMP Doctor 1,A,W,3691,2030,1661,0.5499864535356273,5.880636408536119,8.717788648999981,0.9457174134879542,21.438423645320196,22.315472606863334
JMP Vampires 1,A,B,3765,2194,1571,0.5827357237715803,5.815781795214844,8.652651627104103,0.9456232772964197,20.290337283500456,20.036919159770846
JMP Goblins 1,A,R,3703,2110,1593,0.5698082635700783,5.679883384643063,8.515226523790602,0.9451143797158463,18.76303317535545,19.96107972379159
JMP Doctor 4,A,W,3557,2044,1513,0.574641551869553,5.677165312385927,8.510361439085624,0.9443987088998992,20.915851272015654,21.150693985459352
JMP Heavily Armored 4,A,W,3732,2000,1732,0.5359056806002144,5.670825906709203,8.499269512796758,0.9428145353625184,19.652,20.066974595842957
JMP Lightning 1,A,R,3645,1922,1723,0.5272976680384088,5.6203235698107505,8.46061750953562,0.9467646465749563,18.93964620187305,19.918165989553106
JMP Tree Hugging 2,A,G,3673,2114,1559,0.5755513204465015,5.607860784215198,8.442735253372888,0.9449581563858966,20.862346263008515,20.72803078896729
JMP Rogues 1,A,B,3671,2128,1543,0.5796785616998094,5.590846105271879,8.42798540284629,0.9457130991914702,19.3796992481203,19.202851587815942
JMP Minotaurs 2,A,R,3678,1854,1824,0.5040783034257749,5.473261956672772,8.292050014649305,0.9395960193255113,17.987594390507013,19.62280701754386
JMP Teferi,A,U,3823,1936,1887,0.5064085796494899,5.466930138686356,8.294527387517014,0.942532416276886,20.085743801652892,18.892421833598306
JMP Goblins 4,A,R,3770,1910,1860,0.506631299734748,5.422260301063465,8.238980777174636,0.93890682537039,18.250785340314135,19.34569892473118
JMP Vampires 2,A,B,3650,2074,1576,0.5682191780821918,5.234338965652492,8.070894916341391,0.9455186502296328,20.290742526518805,19.877538071065988
JMP Legion 2,A,W,3728,2011,1717,0.539431330472103,5.234207109418895,8.064243032413419,0.9433453076648413,19.075087021382398,20.241118229470004
JMP Dinosaurs 4,A,G,3697,2095,1602,0.5666756829862051,5.192590253686781,8.022113750863777,0.9431744990589987,18.44486873508353,18.44881398252185
JMP Above the Clouds 1,A,U,3684,1942,1742,0.5271444082519001,5.119974887406647,7.94987985238356,0.9433016549923046,19.314624098867146,20.234213547646384
JMP Doctor 2,B,W,3751,1998,1753,0.5326579578778993,5.087091655974644,7.912451833264587,0.9417867257633143,20.42092092092092,21.249857387335997
JMP Tree Hugging 3,B,G,3638,1909,1729,0.5247388675096206,5.070335552793921,7.896241783072,0.9419687434260263,21.051335777894185,21.061307113938692
JMP Elves 2,B,G,3719,1998,1721,0.5372411938693197,5.0387255518925,7.867670481767927,0.9429816432918091,18.62112112112112,19.938407902382338
JMP Minotaurs 1,B,R,3745,1943,1802,0.5188251001335114,5.000900851217644,7.826695388771103,0.94193151251782,19.267627380339682,20.351276359600444
JMP Elves 1,B,G,3766,2010,1756,0.5337227827934148,4.990502157105286,7.821616891612003,0.9437049115022386,18.5636815920398,18.642938496583145
JMP Dinosaurs 3,B,G,3760,2112,1648,0.5617021276595745,4.987456885689716,7.807849696190406,0.9401309368335632,18.521306818181817,18.567961165048544
JMP Wizards 1,B,U,3721,2059,1662,0.5533458747648482,4.929133871593471,7.759016967777949,0.9432943653948258,20.191355026711996,20.7791817087846
JMP Enchanted 2,B,W,3634,1966,1668,0.5410016510731975,4.888357082266711,7.726894151752898,0.9461790231620624,20.88351983723296,21.151079136690647
JMP Rogues 2,B,B,3698,1824,1874,0.4932395889670092,4.887725055281683,7.704619883489496,0.9389649427359378,18.519736842105264,19.56563500533618
JMP Goblins 2,B,R,3739,2048,1691,0.5477400374431666,4.88494941211336,7.7089704963722525,0.9413403614196307,18.142578125,19.51330573625074
JMP Phyrexian,B,B,3749,1790,1959,0.47746065617498,4.826564059927804,7.652355484427556,0.9419304748332507,20.73072625698324,18.83614088820827
JMP Above the Clouds 4,B,U,3775,1987,1788,0.5263576158940397,4.7879068521055625,7.613933689878358,0.9420089459242654,19.632611977856065,19.977069351230426
JMP Cats 1,B,G,3740,1986,1754,0.5310160427807487,4.7667629714041215,7.582194356574135,0.9384771283900043,19.099194360523665,20.15564424173318
JMP Above the Clouds 3,B,U,3712,1872,1840,0.5043103448275862,4.747508301045416,7.569686513731497,0.9407260708953603,20.477029914529915,20.93586956521739
JMP Pirates 1,B,U,3713,2013,1700,0.5421492054942095,4.734633628898933,7.576216836610076,0.9471944025703811,18.238450074515647,19.154705882352943
JMP Spirits 2,B,U,3640,1949,1691,0.5354395604395604,4.671595092465995,7.508159774912496,0.9455215608155004,18.11646998460749,18.749852158486103
JMP Smashing 2,B,R,3671,1930,1741,0.5257423045491691,4.653669155828602,7.474545279529686,0.9402920412336945,18.09585492227979,18.827110855829982
JMP Smashing 1,B,R,3811,2141,1670,0.5617948045132511,4.609687458162579,7.427106107252701,0.9391395496967073,17.956095282578236,19.9
JMP Spooky 3,B,B,3677,1999,1678,0.5436497144411204,4.558127241185087,7.398677607745995,0.9468501221869693,21.280140070035017,19.918951132300357
JMP Feathered Friends 2,B,W,3646,1872,1774,0.5134393856280856,4.527456808904489,7.354399852818098,0.9423143479712028,19.9732905982906,20.833709131905298
